id,generation,fitness,all_fitness
xXx5Eu6s9fEXrBKGmCaulaZClF6,3,[3.14081678 0.18980534],[ 3.14081678  0.18980534 14.        ]
xXxhdiLkCPZp2bRw1C4Ge7AD7wh,3,[3.99341002 0.20398581],[ 3.99341002  0.20398581 16.        ]
xXxUwi2T2oRAzfN3XCNcKWv9yVT,3,[3.20834975 0.19021908],[ 3.20834975  0.19021908 18.        ]
xXx8KfExDYOdBPxFr2nFQb8Ged8,3,[1.69227037 0.1566751 ],[ 1.69227037  0.1566751  19.        ]
xXxEG9gB43P3maMkjdnIXCJAjyo,3,[1.80513558 0.16445644],[ 1.80513558  0.16445644 21.        ]
xXxxwBrTIu7AIn6cIPbS8eNNu23,4,[0.18063547 3.72619953],[ 0.18063547  3.72619953 20.        ]
xXx3NtLDusxzG98vDDUEeLkmeVh,4,[0.16509381 2.15267634],[ 0.16509381  2.15267634 21.        ]
xXxygBqbBx2rtkBdtcqcMsD0PZb,4,[0.19026817 4.36075068],[ 0.19026817  4.36075068 22.        ]
xXxxwBrTIu7AIn6cIPbS8eNNu23,5,[0.18063547 3.72619953],[ 0.18063547  3.72619953 19.        ]
xXx3NtLDusxzG98vDDUEeLkmeVh,5,[0.16509381 2.15267634],[ 0.16509381  2.15267634 20.        ]
xXxygBqbBx2rtkBdtcqcMsD0PZb,5,[0.19026817 4.36075068],[ 0.19026817  4.36075068 21.        ]
xXxONySFbI9Z9XKNzlbISaaCDDk,5,[0.16270276 1.80355678],[ 0.16270276  1.80355678 23.        ]
