id,generation,fitness,all_fitness
xXxzUtd8TArahZeCUDE8oaAu3m5,0,[1.71407752 0.15682021]
xXxhdiLkCPZp2bRw1C4Ge7AD7wh,0,[3.99341002 0.20398581]
xXxUwi2T2oRAzfN3XCNcKWv9yVT,0,[3.20834975 0.19021908]
xXxBo8Jun9lPnlJop0U8MOYL2uf,0,[1.85590615 0.16507066]
xXx5wZ8VmAcDDdPdIOO8uuN2O9H,0,[3.77248592 0.19024631]
xXx8KfExDYOdBPxFr2nFQb8Ged8,0,[1.69227037 0.1566751 ]
xXxi4QD6DDRyFUreqqByPaHe3zV,0,[1.00899167 0.09822034]
xXxMmBkaAMkti5UXQFP40t7MnUk,0,[3.88213882 0.19272772]
xXxEG9gB43P3maMkjdnIXCJAjyo,0,[1.80513558 0.16445644]
xXxFRq2tyDKdvbGVEC1ugA7fi72,0,[2.10598292 0.16578765]
xXxzUtd8TArahZeCUDE8oaAu3m5,1,[1.71407752 0.15682021]
xXxhdiLkCPZp2bRw1C4Ge7AD7wh,1,[3.99341002 0.20398581]
xXxUwi2T2oRAzfN3XCNcKWv9yVT,1,[3.20834975 0.19021908]
xXxBo8Jun9lPnlJop0U8MOYL2uf,1,[1.85590615 0.16507066]
xXx5wZ8VmAcDDdPdIOO8uuN2O9H,1,[3.77248592 0.19024631]
xXxi4QD6DDRyFUreqqByPaHe3zV,1,[1.00899167 0.09822034]
xXxEG9gB43P3maMkjdnIXCJAjyo,1,[1.80513558 0.16445644]
xXxFRq2tyDKdvbGVEC1ugA7fi72,1,[2.10598292 0.16578765]
xXxMmBkaAMkti5UXQFP40t7MnUk,1,[3.88213882 0.19272772]
xXx8KfExDYOdBPxFr2nFQb8Ged8,1,[1.69227037 0.1566751 ]
xXxzUtd8TArahZeCUDE8oaAu3m5,2,[1.71407752 0.15682021]
xXxBo8Jun9lPnlJop0U8MOYL2uf,2,[1.85590615 0.16507066]
xXxi4QD6DDRyFUreqqByPaHe3zV,2,[1.00899167 0.09822034]
xXxFRq2tyDKdvbGVEC1ugA7fi72,2,[2.10598292 0.16578765]
xXxMmBkaAMkti5UXQFP40t7MnUk,2,[3.88213882 0.19272772]
xXxwurJ9theNhItoAsEALt9wWxt,2,[3.23549843 0.19104399]
xXx5Eu6s9fEXrBKGmCaulaZClF6,2,[3.14081678 0.18980534]
xXxhdiLkCPZp2bRw1C4Ge7AD7wh,2,[3.99341002 0.20398581]
xXxUwi2T2oRAzfN3XCNcKWv9yVT,2,[3.20834975 0.19021908]
xXx8KfExDYOdBPxFr2nFQb8Ged8,2,[1.69227037 0.1566751 ]
xXxEG9gB43P3maMkjdnIXCJAjyo,2,[1.80513558 0.16445644]
xXxzUtd8TArahZeCUDE8oaAu3m5,3,[1.71407752 0.15682021]
xXxBo8Jun9lPnlJop0U8MOYL2uf,3,[1.85590615 0.16507066]
xXxi4QD6DDRyFUreqqByPaHe3zV,3,[1.00899167 0.09822034]
xXxFRq2tyDKdvbGVEC1ugA7fi72,3,[2.10598292 0.16578765]
xXxMmBkaAMkti5UXQFP40t7MnUk,3,[3.88213882 0.19272772]
xXxwurJ9theNhItoAsEALt9wWxt,3,[3.23549843 0.19104399]
xXx5Eu6s9fEXrBKGmCaulaZClF6,3,[3.14081678 0.18980534]
xXxhdiLkCPZp2bRw1C4Ge7AD7wh,3,[3.99341002 0.20398581]
xXxUwi2T2oRAzfN3XCNcKWv9yVT,3,[3.20834975 0.19021908]
xXx8KfExDYOdBPxFr2nFQb8Ged8,3,[1.69227037 0.1566751 ]
xXxEG9gB43P3maMkjdnIXCJAjyo,3,[1.80513558 0.16445644]
xXxxwBrTIu7AIn6cIPbS8eNNu23,4,[0.18063547 3.72619953]
xXx3NtLDusxzG98vDDUEeLkmeVh,4,[0.16509381 2.15267634]
xXxygBqbBx2rtkBdtcqcMsD0PZb,4,[0.19026817 4.36075068]
xXxxwBrTIu7AIn6cIPbS8eNNu23,5,[0.18063547 3.72619953]
xXx3NtLDusxzG98vDDUEeLkmeVh,5,[0.16509381 2.15267634]
xXxygBqbBx2rtkBdtcqcMsD0PZb,5,[0.19026817 4.36075068]
xXxONySFbI9Z9XKNzlbISaaCDDk,5,[0.16270276 1.80355678]
